Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Suma_Tecnologías,KPI_Crecimiento_ADSL,KPI_Crecimiento_Cablemodem,KPI_Crecimiento_Fibra óptica,KPI_Crecimiento_Wireless,KPI_Crecimiento_Otros,Cumple_Meta_5%_ADSL,Cumple_Meta_5%_Cablemodem,Cumple_Meta_5%_Fibra óptica,Cumple_Meta_5%_Wireless,Cumple_Meta_5%_Otros
2020,1,Buenos Aires,673237.0,2210349.0,720688.0,85443.0,18334.0,3708051.0,3708051.0,-6.496289640019393,0.8521804357586316,7.6949285259581,-1.9147983607121999,0.3722763604511181,False,False,True,False,False
2020,2,Buenos Aires,661272.0,2244277.0,723072.0,91736.0,57189.0,3777546.0,3777546.0,-1.7772344657230654,1.5349612210560304,0.3307950180938324,7.365144014138081,211.92865713974038,False,False,False,True,True
2020,3,Buenos Aires,653930.0,2384557.0,749087.0,94162.0,55541.0,3937277.0,3937277.0,-1.1102844215390983,6.250565326829083,3.5978436448929063,2.644545216708827,-2.8816730490129228,False,True,False,False,False
2020,4,Buenos Aires,635651.0,2441248.0,804991.0,93444.0,57927.0,4033261.0,4033261.0,-2.7952533145749525,2.3774227246402546,7.462951566373466,-0.762515664493113,4.29592553248952,False,False,True,False,False
2021,1,Buenos Aires,629679.0,2452056.0,821597.0,98806.0,57864.0,4060002.0,4060002.0,-0.9395092590116283,0.44272437703993806,2.062880206114115,5.738196138863927,-0.10875757418820076,False,False,False,True,False
2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0,4132351.0,-4.1964238921736285,2.111452593252361,3.964960923664518,14.918122381231914,-0.5478363058205482,False,False,False,True,False
2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0,4251609.0,-2.9052390780018422,3.6605919730972047,3.6807531963665374,5.8848396244693735,12.176134290232321,False,False,False,True,True
2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0,4509157.0,-27.214633388478294,4.277466446540812,32.79208864368521,5.538643244502106,13.726492548873814,False,False,True,True,True
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0,4555424.0,-8.04081393303231,0.8261204667567634,5.620378495676959,-1.0765484249765533,-8.912347612885652,False,False,True,False,False
2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0,4667183.0,-10.558226734175925,-0.33904205594633696,12.633390788820087,1.0563969375642301,6.214858236631171,False,False,True,False,True
2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4721668.0,4721668.0,-3.1381540672803854,1.055738445139065,2.6725411584919145,-0.0007883513208795101,-0.861632032437909,False,False,False,False,False
2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0,4794665.0,-4.045364612775582,0.6884920815405815,4.366092953865586,2.4155274900272694,2.8899681890479423,False,False,False,False,False
2023,1,Buenos Aires,304583.0,2761043.0,1551074.0,132458.0,71770.0,4820928.0,4820928.0,-6.5432576064410775,-0.22419393715125135,3.463631700384684,1.9613578631360262,-0.93994561841797,False,False,False,False,False
2023,2,Buenos Aires,265537.0,2766463.0,1645945.0,138405.0,69138.0,4885488.0,4885488.0,-12.819494193700898,0.19630262911516372,6.116471554548664,4.48972504491989,-3.667270447262083,False,False,True,False,False
2023,3,Buenos Aires,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0,4968237.0,-10.481401838538506,0.6402399019975968,5.728867003453941,-0.3496983490480887,-1.3610460238942412,False,False,True,False,False
2023,4,Buenos Aires,223391.0,2797700.0,1784593.0,137993.0,67943.0,5011620.0,5011620.0,-6.021749647672536,0.4857812457909505,2.5487303755403756,0.05220379782628903,-0.37245040104403326,False,False,False,False,False
2024,2,Buenos Aires,214055.0,2722466.0,1849476.0,138638.0,64745.0,4989380.0,4989380.0,-4.179219395588896,-2.6891375058083478,3.635730948176974,0.46741501380505035,-4.706886654990217,False,False,False,False,False
2014,1,Capital Federal,445569.0,820161.0,17767.0,1866.0,14555.0,1299918.0,1299918.0,108.15631496577981,-69.8743345187782,-99.03934952386514,-98.65404867352385,-77.51949957525677,True,False,False,False,False
2014,2,Capital Federal,447637.0,828411.0,17729.0,1883.0,14555.0,1310215.0,1310215.0,0.46412564608400153,1.0059000610855628,-0.21387966454663454,0.9110396570203738,0.0,False,False,False,False,False
2014,3,Capital Federal,450155.0,833402.0,17886.0,1995.0,14387.0,1317825.0,1317825.0,0.5625093546780091,0.6024787213110505,0.885554740820127,5.947955390334569,-1.1542425283407765,False,False,False,True,False
2014,4,Capital Federal,455785.0,840224.0,17155.0,1962.0,15394.0,1330520.0,1330520.0,1.2506803212226858,0.8185725496219209,-4.086995415408701,-1.6541353383458635,6.999374435254047,False,False,False,False,True
2015,1,Capital Federal,454934.0,841743.0,19334.0,1994.0,14716.0,1332721.0,1332721.0,-0.18671083954057144,0.18078512396693114,12.701836199358784,1.6309887869520923,-4.404313368845003,False,False,True,False,False
2015,2,Capital Federal,453178.0,858342.0,19786.0,2172.0,12806.0,1346284.0,1346284.0,-0.38599005570039147,1.9719795709616905,2.3378504189510707,8.926780341023077,-12.979070399565096,False,False,False,True,False
2015,3,Capital Federal,454815.0,871262.0,30974.0,2229.0,12788.0,1372068.0,1372068.0,0.3612267144477377,1.5052275200328147,56.54503184069544,2.6243093922651894,-0.1405591129158168,False,False,True,False,False
2015,4,Capital Federal,455427.0,879950.0,19818.0,2273.0,12758.0,1370226.0,1370226.0,0.13456020579796224,0.9971742139563089,-36.017304836314324,1.9739793629430347,-0.23459493274945453,False,False,False,False,False
2016,1,Capital Federal,454425.0,832126.0,36332.0,2284.0,12729.0,1337896.0,1337896.0,-0.22001330619396686,-5.434854253082566,83.32828741548089,0.48394192696876726,-0.2273083555416222,False,False,True,False,False
2016,2,Capital Federal,450644.0,892209.0,36669.0,2390.0,12672.0,1394584.0,1394584.0,-0.832040490730046,7.220420945866368,0.927556974567878,4.640980735551659,-0.44779637049258136,False,True,False,False,False
2016,3,Capital Federal,447726.0,905105.0,36796.0,2514.0,10963.0,1403104.0,1403104.0,-0.6475177745626226,1.445401245672251,0.34634159644386653,5.188284518828445,-13.486426767676763,False,False,False,True,False
2016,4,Capital Federal,434835.0,914952.0,38161.0,2583.0,10928.0,1401459.0,1401459.0,-2.8792163064016885,1.0879400732511701,3.7096423524296096,2.7446300715990413,-0.3192556781902778,False,False,False,False,False
2017,1,Capital Federal,428801.0,918328.0,38259.0,2730.0,10928.0,1399046.0,1399046.0,-1.3876527878390665,0.3689811050197278,0.2568066874557795,5.691056910569103,0.0,False,False,False,True,False
2017,2,Capital Federal,615262.0,932466.0,38628.0,2819.0,11016.0,1600191.0,1600191.0,43.484273590779864,1.5395370717216528,0.9644789461303205,3.2600732600732707,0.8052708638360162,True,False,False,False,False
2017,3,Capital Federal,583249.0,941092.0,33481.0,2814.0,9723.0,1570359.0,1570359.0,-5.203149227483572,0.9250739437148381,-13.324531427979702,-0.17736786094360024,-11.737472766884526,False,False,False,False,False
2017,4,Capital Federal,571363.0,961688.0,36277.0,3119.0,9877.0,1582324.0,1582324.0,-2.037894621336689,2.188521419797418,8.35100504763895,10.83866382373846,1.5838732901367836,False,False,True,True,False
2018,1,Capital Federal,349995.0,968483.0,35535.0,3164.0,9393.0,1366570.0,1366570.0,-38.74384585631201,0.7065701142158431,-2.0453731014141163,1.4427701186277675,-4.900273362356988,False,False,False,False,False
2018,2,Capital Federal,342431.0,977916.0,35610.0,3908.0,9321.0,1369186.0,1369186.0,-2.161173731053301,0.9739974785308636,0.21105951878430673,23.514538558786334,-0.7665282657297934,False,False,False,True,False
2018,3,Capital Federal,334353.0,1009252.0,35694.0,3872.0,9319.0,1392490.0,1392490.0,-2.359015392882069,3.2043652011011226,0.23588879528222417,-0.92118730808598,-0.021456925222618217,False,False,False,False,False
2018,4,Capital Federal,328253.0,1019490.0,33042.0,3978.0,4257.0,1389020.0,1389020.0,-1.8244191019670786,1.0144146357896844,-7.429820137838295,2.737603305785119,-54.31913295417963,False,False,False,False,False
2019,1,Capital Federal,328246.0,1030814.0,32281.0,3978.0,4281.0,1399600.0,1399600.0,-0.002132501454665814,1.110751454158443,-2.3031293505235806,0.0,0.5637773079633535,False,False,False,False,False
2019,2,Capital Federal,309937.0,1061358.0,36082.0,3962.0,4281.0,1415620.0,1415620.0,-5.577828823504327,2.9630951849703324,11.774728168272365,-0.40221216691804784,0.0,False,False,True,False,False
2019,3,Capital Federal,300288.0,1080973.0,24900.0,3895.0,31155.0,1441211.0,1441211.0,-3.1132133304510257,1.8481040327580356,-30.990521589712316,-1.6910651186269554,627.7505255781359,False,False,False,False,True
2019,4,Capital Federal,196938.0,1093143.0,35534.0,3914.0,28576.0,1358105.0,1358105.0,-34.41695971867008,1.1258375556096212,42.70682730923694,0.4878048780487809,-8.277965013641476,False,False,True,False,False
2020,1,Capital Federal,184494.0,1097635.0,38898.0,3911.0,28556.0,1353494.0,1353494.0,-6.318739907991344,0.4109251945994208,9.466989362300904,-0.07664793050587981,-0.06998880179170941,False,False,True,False,False
2020,2,Capital Federal,178896.0,1106133.0,39482.0,3937.0,29373.0,1357821.0,1357821.0,-3.0342450160980805,0.7742100060584844,1.5013625379196816,0.6647916133980969,2.861044964280701,False,False,False,False,False
2020,3,Capital Federal,170375.0,1129573.0,39417.0,3936.0,29374.0,1372675.0,1372675.0,-4.763102584741974,2.1190941776441097,-0.1646319841953292,-0.02540005080010621,0.0034044871140226363,False,False,False,False,False
2020,4,Capital Federal,163060.0,1142528.0,39890.0,4815.0,29237.0,1379530.0,1379530.0,-4.293470286133527,1.146893560664064,1.1999898520942631,22.33231707317074,-0.4663988561312671,False,False,False,True,False
