Año,Trimestre,Total,Provincia,Accesos por cada 100 hab,Población,KPI Penetración,Incremento (%),Cumple Incremento
2014,1,6398398,Buenos Aires,16.692346018019,38331328.58073442,16.692346018019,0.0,False
2014,2,6464468,Buenos Aires,16.7949254349917,38490602.563387886,16.794925434991704,0.6145296584552762,False
2014,3,6595271,Buenos Aires,17.262998432341,38204666.62178587,17.262998432340996,2.786990625001984,False
2014,4,6598496,Buenos Aires,17.0147634301905,38781003.49189588,17.0147634301905,-1.4379599414516941,False
2015,1,6737732,Buenos Aires,17.241393436944,39078813.58105733,17.241393436944,1.3319609625096263,False
2015,2,6816188,Buenos Aires,17.325662544573,39341571.974314295,17.325662544573,0.48876042378587226,False
2015,3,6935068,Buenos Aires,17.5478839831824,39520822.03555969,17.5478839831824,1.2826143764355313,False
2015,4,6984831,Buenos Aires,17.6833488562859,39499480.87755506,17.6833488562859,0.7719726961571416,False
2016,1,6907356,Buenos Aires,17.5350792164395,39391644.11372725,17.5350792164395,-0.8384703658305903,False
2016,2,7130079,Buenos Aires,18.0986845682896,39395564.76105723,18.0986845682896,3.214159142900863,True
2016,3,7206950,Buenos Aires,18.2953085979519,39392339.08744668,18.2953085979519,1.0863995608100918,False
2016,4,7251673,Buenos Aires,18.5786407358338,39032311.90650691,18.5786407358338,1.5486600642178772,False
2017,1,7305854,Buenos Aires,18.8048550310117,38850892.43151131,18.8048550310117,1.2176041207448973,False
2017,2,7429664,Buenos Aires,18.1041564810005,41038443.34198668,18.1041564810005,-3.7261576803206187,False
2017,3,7724943,Buenos Aires,17.9358709735921,43069795.78172607,17.935870973592095,-0.9295407249987786,False
2017,4,7870222,Buenos Aires,18.6146492483549,42279722.24991316,18.6146492483549,3.784473448555725,True
2018,1,8037053,Buenos Aires,20.2796529105795,39631117.137153886,20.2796529105795,8.944587888873311,True
2018,2,8110444,Buenos Aires,20.3745823244351,39806676.13624255,20.3745823244351,0.46810176818201654,False
2018,3,8347035,Buenos Aires,20.9590874010485,39825374.26501896,20.9590874010485,2.868795380960565,False
2018,4,8473655,Buenos Aires,21.0588338233985,40238006.867146224,21.058833823398498,0.4759101407488142,False
2019,1,8648135,Buenos Aires,21.6417378514192,39960446.14981269,21.6417378514192,2.767978668282378,False
2019,2,8960181,Buenos Aires,22.2157894842981,40332489.67511584,22.215789484298096,2.652520961209448,False
2019,3,9164684,Buenos Aires,22.7617336155622,40263558.80790251,22.7617336155622,2.4574599595029945,False
2019,4,8793181,Buenos Aires,21.1350893819089,41604654.89929151,21.1350893819089,-7.146398693204814,False
2020,1,8812426,Buenos Aires,21.2080810142128,41552208.30255348,21.2080810142128,0.34535757566456216,False
2020,2,9031056,Buenos Aires,21.5528584048363,41901894.54394364,21.552858404836297,1.6256887664303,False
2020,3,9356199,Buenos Aires,22.4100880534403,41749943.05104337,22.4100880534403,3.977336242378171,True
2020,4,9571562,Buenos Aires,22.9015115325469,41794455.297840066,22.901511532546895,2.1928672387842463,False
2021,1,9647972,Buenos Aires,22.998353975762,41950706.60347263,22.998353975762004,0.4228648536035662,False
2021,2,9863084,Buenos Aires,23.352473727873,42235713.93307099,23.352473727873004,1.5397612911089542,False
2021,3,10085541,Buenos Aires,23.9698919039995,42075871.849539615,23.9698919039995,2.6439090921213992,False
2021,4,10489794,Buenos Aires,25.3625141144029,41359440.758450046,25.362514114402902,5.809881062379918,True
2022,1,10624009,Buenos Aires,25.5630301520284,41560053.47103577,25.5630301520284,0.790600004088815,False
2022,2,10958684,Buenos Aires,26.1292712783274,41940258.81268852,26.129271278327405,2.2150782709696726,False
2022,3,11091128,Buenos Aires,26.37,42059643.534319304,26.369999999999997,0.9212990255578202,False
2022,4,11208114,Buenos Aires,26.72,41946534.431137726,26.72,1.3272658323852937,False
2023,1,11241895,Buenos Aires,26.81,41931723.23759791,26.810000000000002,0.33682634730540784,False
2023,2,11251897,Buenos Aires,27.1,41519915.12915129,27.1,1.0816859380827992,False
2023,3,11406908,Buenos Aires,27.5,41479665.45454545,27.500000000000004,1.4760147601476037,False
2023,4,11547661,Buenos Aires,27.68,41718428.4682081,27.68,0.654545454545441,False
2024,1,11633156,Buenos Aires,27.8,41845884.89208633,27.800000000000004,0.43352601156070314,False
2024,2,11556107,Buenos Aires,27.43,42129445.86219468,27.43,-1.3309352517985817,False
2014,1,6398398,Capital Federal,42.6550716305864,15000321.779818421,42.6550716305864,0.0,False
2014,2,6464468,Capital Federal,42.9747769614274,15042470.158256484,42.9747769614274,0.749513055820894,False
2014,3,6595271,Capital Federal,43.2063995929272,15264569.744616335,43.2063995929272,0.538973434830603,False
2014,4,6598496,Capital Federal,43.6046206766365,15132561.406583903,43.6046206766365,0.9216715288965949,False
2015,1,6737732,Capital Federal,43.658724990074,15432727.367855687,43.658724990074,0.12407931223328283,False
2015,2,6816188,Capital Federal,44.0848542837935,15461518.725050593,44.0848542837935,0.9760461255255981,False
2015,3,6935068,Capital Federal,44.9110922281475,15441770.965555647,44.9110922281475,1.874199104833485,False
2015,4,6984831,Capital Federal,44.8329837809894,15579670.169001307,44.8329837809894,-0.17391794161075724,False
2016,1,6907356,Capital Federal,43.7577841271835,15785433.695462123,43.7577841271835,-2.398233539525918,False
2016,2,7130079,Capital Federal,45.5937571210413,15638279.120255923,45.5937571210413,4.195763177864498,True
2016,3,7206950,Capital Federal,45.854720267722,15716920.652710006,45.854720267722,0.572365962269572,False
2016,4,7251673,Capital Federal,45.7837382772723,15838970.937853351,45.7837382772723,-0.15479756508223197,False
2017,1,7305854,Capital Federal,45.687714654171,15990850.17777973,45.687714654171,-0.20973303341846883,False
2017,2,7429664,Capital Federal,52.236738675121,14223062.519671723,52.23673867512101,14.334321754813617,True
2017,3,7724943,Capital Federal,51.2444496511116,15074692.093668392,51.2444496511116,-1.8995998777427747,False
2017,4,7870222,Capital Federal,51.6167209151056,15247427.307411121,51.61672091510561,0.7264616295590054,False
2018,1,8037053,Capital Federal,44.5629613204179,18035275.847607497,44.5629613204179,-13.665648397714147,False
2018,2,8110444,Capital Federal,44.632577746788,18171578.719948955,44.632577746787994,0.15622037743303618,False
2018,3,8347035,Capital Federal,45.3770920456075,18394821.315589335,45.37709204560749,1.6680961226199331,False
2018,4,8473655,Capital Federal,45.2493139403669,18726593.31623734,45.2493139403669,-0.2815916566715204,False
2019,1,8648135,Capital Federal,45.5791838994366,18973869.780294374,45.5791838994366,0.7290054375286736,False
2019,2,8960181,Capital Federal,46.0859257928109,19442336.99520848,46.0859257928109,1.1117836038757156,False
2019,3,9164684,Capital Federal,46.9047708934881,19538916.45865038,46.9047708934881,1.7767791068329597,False
2019,4,8793181,Capital Federal,44.1870536086124,19899903.437522117,44.1870536086124,-5.794116958906203,False
2020,1,8812426,Capital Federal,44.0240824345247,20017284.887439452,44.0240824345247,-0.36882109300887533,False
2020,2,9031056,Capital Federal,44.151826868205,20454546.596583806,44.151826868205,0.29016944048814164,False
2020,3,9356199,Capital Federal,44.6227428971926,20967332.782648455,44.6227428971926,1.0665833384274404,False
2020,4,9571562,Capital Federal,44.8339684267828,21348906.500728507,44.8339684267828,0.47335846224614286,False
2021,1,9647972,Capital Federal,44.8269901646418,21522685.24958884,44.82699016464179,-0.015564676484991491,False
2021,2,9863084,Capital Federal,45.4871904812949,21683212.12112642,45.4871904812949,1.4727741350206935,False
2021,3,10085541,Capital Federal,45.9003834652686,21972672.641463697,45.900383465268604,0.908372180391348,False
2021,4,10489794,Capital Federal,45.8485107145629,22879246.973376863,45.848510714562906,-0.11301158463076222,False
2022,1,10624009,Capital Federal,46.0143476214435,23088470.33408559,46.0143476214435,0.3617062022211348,False
2022,2,10958684,Capital Federal,49.8735612562611,21972932.599883776,49.8735612562611,8.386978919199418,True
2022,3,11091128,Capital Federal,50.22,22085081.640780568,50.22,0.6946340606375001,False
2022,4,11208114,Capital Federal,50.35,22260405.163853027,50.35000000000001,0.25886101154919405,False
2023,1,11241895,Capital Federal,50.23,22380838.14453514,50.23,-0.2383316782522571,False
2023,2,11251897,Capital Federal,47.27,23803463.084408715,47.27,-5.892892693609387,False
2023,3,11406908,Capital Federal,47.6,23964092.43697479,47.599999999999994,0.6981171990691593,False
2023,4,11547661,Capital Federal,47.8,24158286.61087866,47.8,0.42016806722688926,False
2024,1,11633156,Capital Federal,48.78,23848208.28208282,48.78000000000001,2.0502092050209475,False
2024,2,11556107,Capital Federal,47.44,24359416.104553122,47.43999999999999,-2.7470274702747433,False
2014,1,6398398,Catamarca,6.1846145207766,103456698.52996036,6.1846145207765995,0.0,False
2014,2,6464468,Catamarca,6.28435543538314,102866046.74845032,6.284355435383141,1.6127264564585575,False
2014,3,6595271,Catamarca,6.26989025279194,105189576.43737338,6.269890252791939,-0.23017766483668378,False
2014,4,6598496,Catamarca,6.45925498005949,102155682.35609779,6.459254980059489,3.020223953413348,True
2015,1,6737732,Catamarca,6.40301699079434,105227457.7700931,6.40301699079434,-0.8706575207011125,False
2015,2,6816188,Catamarca,6.47514486431421,105266957.6176642,6.47514486431421,1.1264670017832046,False
2015,3,6935068,Catamarca,6.56384739614516,105655533.73579118,6.56384739614516,1.369892623094926,False
2015,4,6984831,Catamarca,6.64339437499843,105139490.53343156,6.64339437499843,1.211895616281189,False
